Symbol GSE Entrez PFOCR
1 ADNP GSE79395 23394 PMC3598339__1758-5996-5-1-4.jpg;PMC5112273__fncel-10-00263-g002.jpg
2 AHR GSE52036 196 PMC2533023__1471-2164-9-376-5.jpg;PMC2642890__nihms-89521-f0002.jpg;PMC2662368__nihms97384f2.jpg;PMC2782644__nihms-106890-f0005.jpg;PMC2803786__1741-7015-7-77-2.jpg;PMC2970576__jncidjq361f05_4c.jpg;PMC3010226__nihms257063f2.jpg;PMC3018769__nihms-216285-f0008.jpg;PMC3022727__1479-5876-9-2-6.jpg;PMC3022823__1471-2164-12-2-7.jpg;PMC3230686__nihms318641f3.jpg;PMC3386597__ijerph-09-01939-g003.jpg;PMC3386597__ijerph-09-01939-g004.jpg;PMC3423373__pone.0037046.g003.jpg;PMC3436816__bts389f2.jpg;PMC3531794__nihms427033f1.jpg;PMC3561798__JCI65642.f6.jpg;PMC3594312__pone.0058325.g005.jpg;PMC3612853__2402f1.jpg;PMC3634798__nihms456194f1.jpg;PMC3688827__pone.0065128.g006.jpg;PMC3787652__CDI2013-374769.002.jpg;PMC3797807__pone.0077484.g004.jpg;PMC3965671__nihms536250f5.jpg;PMC3965671__nihms536250f6.jpg;PMC4100143__ijms-15-10116-g001.jpg;PMC4110479__fphys-05-00279-g0003.jpg;PMC4170887__BMRI2014-834087.002.jpg;PMC4198693__gr5.jpg;PMC4340906__pone.0118562.g005.jpg;PMC4344511__gkv074fig4.jpg;PMC4398700__WJG-11-4511-g003.jpg;PMC4572003__ddv26302.jpg;PMC4607752__kfv105f5p.jpg;PMC4614807__srep15662-f2.jpg;PMC4628569__nihms-713410-f0003.jpg;PMC4629002__BMRI2015-830315.004.jpg;PMC4655423__fimmu-06-00597-g001.jpg;PMC4681601__nihms733909f1.jpg;PMC4801467__koni-05-02-1082027-g001.jpg;PMC4905465__oncotarget-07-11165-g006.jpg;PMC4919052__pone.0157480.g006.jpg;PMC5037386__srep33847-f5.jpg;PMC5069789__13223_2016_159_Fig2_HTML.jpg;PMC5216741__oncotarget-07-45547-g006.jpg;PMC5497827__f1000research-6-12082-g0000.jpg;PMC5514447__zmb9991015480002.jpg;PMC5709591__zjv0241731720005.jpg;PMC5952217__gr1.jpg;PMC5957449__pgen.1007380.g003.jpg;PMC5962649__fimmu-09-01037-g004.jpg;PMC5994557__fimmu-09-01256-g001.jpg;PMC5996766__nihms966054f1.jpg;PMC6059692__MMR-18-01-0049-g03.jpg;PMC6491625__fimmu-10-00819-g0005.jpg;PMC6627192__cancers-11-00882-g004a.jpg;PMC6689672__00117-2019.03.jpg;PMC6692500__41467_2019_11451_Fig5_HTML.jpg;PMC6713396__pntd.0007673.g004.jpg;PMC6831453__thnov09p7849g001.jpg;PMC6883365__10.1177_1176935119889911-fig1.jpg;PMC6883365__10.1177_1176935119889911-fig2.jpg
3 ARID1B GSE75291 57492 PMC3882126__nihms535081f1.jpg;PMC4885862__fcimb-06-00058-g0003.jpg;PMC5322732__184f06.jpg;PMC6033950__41598_2018_28395_Fig6_HTML.jpg;PMC6054450__nihms974457f3.jpg;PMC6175900__41467_2018_6464_Fig2_HTML.jpg
4 B2M GSE137843 567 PMC1186734__pgen.0010016.g006.jpg;PMC2861866__nihms187996f3.jpg;PMC2912833__1471-2172-11-39-4.jpg;PMC2955136__pnas.1013185107fig04.jpg;PMC3040753__pone.0016865.g003.jpg;PMC3094296__1742-4682-8-13-1.jpg;PMC3245506__1471-2164-12-549-3.jpg;PMC3564018__gene201249f7.jpg;PMC3666437__ECAM2013-510208.005.jpg;PMC3706484__pone.0067870.g005.jpg;PMC3722362__nihms489933f3.jpg;PMC3775564__IJO-43-02-0548-g04.jpg;PMC3945331__zbc0121477000005.jpg;PMC400410__ar1018-3.jpg;PMC4092924__ajas-25-1-1-1f2.jpg;PMC4143352__pone.0106050.g007.jpg;PMC4311405__nihms-646209-f0005.jpg;PMC4417456__nihms671241f4.jpg;PMC4562633__pone.0137222.g004.jpg;PMC4600211__12917_2015_575_Fig2_HTML.jpg;PMC4727420__246fig2.jpg;PMC4786553__fnbeh-10-00046-g0005.jpg;PMC5352450__oncotarget-08-8877-g002.jpg;PMC5393394__zjw0041755220005.jpg;PMC5415769__12974_2017_840_Fig2_HTML.jpg;PMC6089198__gr8.jpg;PMC6173361__oncotarget-09-33500-g003.jpg;PMC6266222__cancers-10-00461-g003.jpg;PMC6599710__nihms-1038172-f0002.jpg
5 CASC9 GSE125648 101805492 NA
6 CBAP GSE69511 NA NA
7 CD73 GSE117012 NA NA
8 CDK19 GSE78506 23097 PMC6883365__10.1177_1176935119889911-fig1.jpg;PMC6885354__peerj-07-8119-g004.jpg
9 CDK8 GSE78506 1024 PMC2976970__1471-213X-10-107-3.jpg;PMC4263464__cin-suppl.4-2014-073f1.jpg;PMC4965740__srep30612-f9.jpg;PMC5240474__nihms836008f2.jpg;PMC5434854__AJMG-174-235-g001.jpg;PMC5479833__41598_2017_4256_Fig4_HTML.jpg
10 COX1 GSE66173 4512 PMC6781638__NDT-15-2853-g0004.jpg
11 COX2 GSE80979 4513 PMC4715579__nihms-746092-f0006.jpg;PMC5821407__pone.0193250.g004.jpg;PMC5995803__41598_2018_27293_Fig8_HTML.jpg;PMC6781638__NDT-15-2853-g0004.jpg;PMC6826402__cancers-11-01430-g001.jpg
12 DNM3OS GSE104295 100628315 NA
13 DRAIC GSE118101 145837 NA
14 E6AP GSE107245 NA NA
15 EFTUD2 GSE129619 9343 PMC2824905__nihms168106f2.jpg;PMC3494151__zjw0101242620004.jpg;PMC4023177__1477-5956-12-22-3.jpg;PMC5226821__pcbi.1005287.g013.jpg;PMC5524517__nihms873368f1.jpg;PMC6152442__krnb-15-06-1457936-g001.jpg;PMC6326667__aging-10-101691-g005.jpg;PMC6505517__12035_2018_1385_Fig4_HTML.jpg
16 EIF5A GSE104604 1984 NA
17 ELAVL2 GSE69092 1993 PMC3517581__pone.0051111.g007.jpg;PMC3581534__pone.0055791.g005.jpg;PMC3632591__pone.0061768.g007.jpg;PMC3905281__1471-2164-15-48-5.jpg
18 EPAS1 GSE62974 2034 PMC3022823__1471-2164-12-2-7.jpg;PMC3162305__tlo0405_0301_fig004.jpg;PMC4519426__nihms-690588-f0005.jpg;PMC4697333__12859_2015_841_Fig4_HTML.jpg;PMC4697333__12859_2015_841_Fig6_HTML.jpg;PMC4776098__srep22392-f2.jpg;PMC4925820__aging-08-642-g006.jpg;PMC5138252__12576_2016_501_Fig4_HTML.jpg;PMC5180601__nihms832150f6.jpg;PMC5397843__srep46562-f1.jpg;PMC5467784__IJO-51-01-0128-g08.jpg;PMC5549772__ppat.1006532.g002.jpg;PMC5716829__er.2017-00062f1.jpg;PMC5883534__12918_2018_554_Fig4_HTML.jpg;PMC6059757__OR-40-01-0083-g14.jpg;PMC6089393__oncotarget-09-30748-g009.jpg;PMC6172368__MMR-18-05-4313-g01.jpg;PMC6192719__IJMM-42-05-2489-g05.jpg;PMC6376179__thnov09p0540g004.jpg;PMC6624447__fimmu-10-01463-g0006.jpg;PMC6803282__JVI.00876-19-f0003.jpg
19 Exoc5 GSE127736 NA NA
20 FOXP1 GSE108500 27086 PMC3245506__1471-2164-12-549-3.jpg;PMC3573419__10.1177_2040620711419001-fig2.jpg;PMC3729906__981250.fig1.jpg;PMC5147901__pone.0167440.g003.jpg;PMC5201094__blood715094f7.jpg;PMC5587804__gkx605fig4.jpg;PMC5712330__12308_2017_302_Fig5_HTML.jpg;PMC5769625__develop-144-157404-g2.jpg;PMC5997167__kepi-13-03-1445901-g005.jpg;PMC6284860__oncotarget-09-36409-g001.jpg
21 GPAT4 GSE125178 137964 PMC2692402__zh10060956840001.jpg;PMC2737689__nihms125026f2.jpg;PMC3181269__nihms300713f1.jpg;PMC3921899__nihms550059f1.jpg;PMC6412627__ijms-20-00964-g001.jpg
22 GRP78 GSE115849 NA NA
23 H19 GSE80237 283120 NA
24 HBO1 GSE101972 NA NA
