Symbol GSE Entrez PFOCR
1 ADNP GSE79395 23394 PMC3598339__1758-5996-5-1-4.jpg;PMC5112273__fncel-10-00263-g002.jpg
2 AHR GSE52036 196 PMC1065305__i1466-1268-9-1-4-f01.jpg;PMC1782564__imm0113-0234-f6.jpg;PMC1869626__mol13_1p069f2.jpg;PMC2803786__1741-7015-7-77-2.jpg;PMC2847521__zmk0071094030011.jpg;PMC2953915__zjw0101036830007.jpg;PMC3262585__IJBC2011-923250.001.jpg;PMC3321306__nihms341811f1.jpg;PMC3386597__ijerph-09-01939-g003.jpg;PMC3394947__zjw0071241570001.jpg;PMC3561798__JCI65642.f6.jpg;PMC3601410__CDR-9-137_F2.jpg;PMC3606047__nihms438583f1.jpg;PMC368161__pbio.0020065.g007.jpg;PMC3999173__nihms-551817-f0002.jpg;PMC4028208__pone.0097419.g009.jpg;PMC4172968__12964_2014_57_Fig11_HTML.jpg;PMC4198693__gr5.jpg;PMC4572003__ddv26302.jpg;PMC4607752__kfv105f5p.jpg;PMC4614807__srep15662-f2.jpg;PMC4678703__40425_2015_94_Fig1_HTML.jpg;PMC4714567__nihms-704688-f0002.jpg;PMC4864395__pone.0155135.g005.jpg;PMC4937870__ehp.1510308.g006.jpg;PMC5419340__10.1177_1178646917704662-fig9.jpg;PMC5461649__PRP2-5-e00294-g004.jpg;PMC5539435__fendo-08-00182-g010.jpg;PMC5621755__nihms856461f1.jpg;PMC5760495__fimmu-08-01909-g001.jpg;PMC5770815__fimmu-08-01957-g001.jpg;PMC5822495__PM-13-749-g001.jpg;PMC5864729__41598_2018_23439_Fig6_HTML.jpg;PMC5957449__pgen.1007380.g003.jpg;PMC6032276__ijms-19-01654-g006.jpg;PMC6059692__MMR-18-01-0049-g03.jpg;PMC6627192__cancers-11-00882-g004a.jpg;PMC6692500__41467_2019_11451_Fig5_HTML.jpg;PMC6702832__OMCL2019-4654206.005.jpg;PMC6883365__10.1177_1176935119889911-fig1.jpg;PMC6883365__10.1177_1176935119889911-fig2.jpg
3 ARID1B GSE75291 57492 PMC2808241__pone.0008760.g007.jpg;PMC3882126__nihms535081f1.jpg;PMC4918227__nihms794498f2.jpg;PMC6033950__41598_2018_28395_Fig6_HTML.jpg;PMC6113404__fpls-09-01232-g004.jpg;PMC6175900__41467_2018_6464_Fig2_HTML.jpg
4 B2M GSE137843 567 PMC2912833__1471-2172-11-39-4.jpg;PMC3706484__pone.0067870.g005.jpg;PMC3775564__IJO-43-02-0548-g04.jpg;PMC3822533__jcmm0012-0421-f1.jpg;PMC4143352__pone.0106050.g007.jpg;PMC4319406__JCI77014.f10.jpg;PMC4562633__pone.0137222.g004.jpg;PMC4726449__ppat.1005395.g005.jpg;PMC4727420__246fig2.jpg;PMC4904147__fneur-07-00089-g001.jpg;PMC5364987__MMR-15-04-1943-g01.jpg;PMC6599710__nihms-1038172-f0002.jpg
5 CASC9 GSE125648 101805492 NA
6 CBAP GSE69511 NA NA
7 CD73 GSE117012 NA NA
8 CDK19 GSE78506 23097 PMC3104554__ncomms1279-f8.jpg;PMC3164456__3081fig10.jpg;PMC3654163__bies0035-0462-f2.jpg;PMC4270195__nihms634805f2.jpg;PMC5431987__41598_2017_1314_Fig7_HTML.jpg;PMC6328866__bsr-39-bsr20181293-g3.jpg;PMC6466611__biology-08-00003-g006.jpg;PMC6883365__10.1177_1176935119889911-fig1.jpg
9 CDK8 GSE78506 1024 PMC2170845__tjp0581-0899-f9.jpg;PMC2976970__1471-213X-10-107-3.jpg;PMC3104554__ncomms1279-f8.jpg;PMC3164456__3081fig10.jpg;PMC3654163__bies0035-0462-f2.jpg;PMC4270195__nihms634805f2.jpg;PMC5431987__41598_2017_1314_Fig7_HTML.jpg;PMC5434854__AJMG-174-235-g001.jpg;PMC5894832__PC_TPC2017RA00655R2_f11.jpg;PMC6233323__nihms-994512-f0001.jpg;PMC6328866__bsr-39-bsr20181293-g3.jpg;PMC6466611__biology-08-00003-g006.jpg
10 COX1 GSE66173 4512 PMC3146512__pone.0022898.g002.jpg;PMC3904556__ASN.2012121217f4.jpg;PMC4704061__srep18971-f6.jpg;PMC6446774__PP_201801067R1_f2.jpg;PMC6651518__ijms-20-03156-g010.jpg;PMC6781638__NDT-15-2853-g0004.jpg
