GSE	description	keyword
GSE64912	RNA-Sequencing of human papillary thyroid carcinomas	NA
GSE83635	RNA-seq analysis to identify the genes regulated by p53-SET interplay	knockout/siRNA
GSE71569	Interactions of aCPs with Cytosine-rich Polypyrimidine Tracts Enhance Splicing of Cassette Exons	NA
GSE79666	Transcriptome sequencing reveals aberrant alternative splicing in Huntington's disease	Huntington
GSE54511	Different molecular pathways along with pathogenesis of three subtypes of Leiomyosarcoma	pathway
GSE79680	HEK293 Heat-shock experiment	NA
GSE81579	Transcriptome analysis of human cumulus cells reveals hypoxia as the main determinant of follicular senescence.	NA
GSE61674	In vitro differentiation of human low threshold mechanoreceptive (LTMR) neurons from embryonic stem cells	NA
GSE70084	RNA sequencing of mechanically strained NHEKs and control NHEKs	NA
GSE66446	The Cushing's disease adipose gene expression profile reveals effects of long term glucocorticoids on adipose tissue lipid, protein and glucose metabolism	pathway
GSE80979	Opposing Effects of Cyclooxygenase-2 (COX-2) on Estrogen Receptor β (ERβ) Response to 5α-reductase Inhibition in Prostate Epithelial Cells	pathway
GSE62982	Peroxisome Proliferator-activated Receptor gamma- Deficiency in Endothelial Cells Impairs Angiogenic Capacity by Loss-of E2F1 Mediated Wnt Effector Genes	siRNA
GSE81062	Targeting MTHFD2 in Acute Myeloid Leukemia	Acute Myeloid Leukemia
GSE60630	RNA-Seq to assess the transcriptional effects of G quadruplex stabilization by the G4 ligand PhenDC3 in HT-1080 cells	NA
GSE58326	Global analysis of ZNF217 chromatin occupancy in the breast cancer cell genome reveals an association with Eralpha	Breast cancer/Cancer
GSE81402	Analysis of chromosomal aberrations and recombination by allelic bias in RNA-Seq	NA
GSE72141	GATA3-mediated chromatin reprogramming in breast cancer cells	Breast cancer/Cancer
GSE74220	Transcriptome response to 4h IL-1b stimulation of primary chondrocytes	NA
GSE71070	Treatment of prostate cancer cells with S-adenosylmethionine leads to genomewide alterations of transcription profiles	Cancer/Prostate cancer
GSE66014	Global Gene Expression analysis of CUTLL1 cell lines after treatment with Perhexiline	NA
GSE84186	Single-nucleotide-resolution mapping of HBV promoters using CAGE	NA
GSE71203	Transcriptome analysis of RANK-positive and RANK-negative luminal progenitor subpopulations in the human breast	NA
GSE83601	Dysregulated immune system networks in war veterans with PTSD	pathway
GSE65000	Human-specific gene ARHGAP11B promotes basal progenitor amplification and neocortex expansion	NA
GSE67070	Stem cell and neurogenic gene-expression profiles link prostate basal cells to aggressive prostate cancer	Cancer/Prostate cancer
GSE54505	TWIST1-induced microRNA-424 drives an intermediate epithelial-to-mesenchymal transition that opposes metastasis	Breast cancer/Cancer
GSE84322	Transcriptome Sequencing of Adipose-Derived Mesechymal Stromal Cells	NA
GSE84639	Enriched retinal ganglion cells derived from human embryonic stem cells (RNA-seq)	NA
GSE81478	Transcriptome sequencing wide functional analysis of human mesenchymal stem cells	NA
GSE68925	RNAi profiling of primary human AML cells identifies ROCK1 as a therapeutic target and nominates Fasudil as an anti-leukemic drug.	Cancer/Acute Myeloid Leukemia/knockdown/pathway
GSE56235	Effect of PRDM11 depletion in U2932 cells	Cancer
GSE74322	Global gene expression differences between blood- and lymphatic-specific human dermal microvascular endothelial cells	NA
GSE67333	Transcriptomics profiling of Alzheimer’s disease reveal novel molecular targets	Alzheimer’s disease/Alzheimer
